,suburb
0,Aarons Pass
1,Abbotsbury
2,Abbotsford
3,Abercrombie
4,Abercrombie River
5,Aberdare
6,Aberdeen
7,Aberfoyle
8,Aberglasslyn
9,Abermain
10,Abernethy
11,Abington
12,Acacia Creek
13,Acacia Gardens
14,Adaminaby
15,Adamstown
16,Adamstown Heights
17,Adelong
18,Adjungbilly
19,Afterlee
20,Agnes Banks
21,Airds
22,Akolele
23,Albert
24,Albion Park
25,Albion Park Rail
26,Albury
27,Aldavilla
28,Alectown
29,Alexandria
30,Alfords Point
31,Alfredtown
32,Alice
33,Alison
34,Alison
35,Allambie Heights
36,Allandale
37,Allawah
38,Alleena
39,Allgomera
40,Allworth
41,Allynbrook
42,Alma Park
43,Alpine
44,Alstonvale
45,Alstonville
46,Alumy Creek
47,Amaroo
48,Ambarvale
49,Amosfield
50,Anabranch North
51,Anabranch South
52,Anambah
53,Ando
54,Anembo
55,Angledale
56,Angledool
57,Anglers Reach
58,Angourie
59,Angus
60,Anna Bay
61,Annandale
62,Annangrove
63,Appin
64,Apple Tree Flat
65,Appleby
66,Appletree Flat
67,Apsley
68,Arable
69,Arakoon
70,Araluen
71,Aratula
72,Arcadia
73,Arcadia Vale
74,Ardglen
75,Arding
76,Ardlethan
77,Argalong
78,Argenton
79,Argents Hill
80,Argoon
81,Ariah Park
82,Arkell
83,Arkstone
84,Armatree
85,Armidale
86,Arncliffe
87,Arndell Park
88,Arrawarra
89,Arrawarra Headland
90,Artarmon
91,Arthurville
92,Arumpo
93,Ashbury
94,Ashby
95,Ashby Heights
96,Ashby Island
97,Ashcroft
98,Ashfield
99,Ashford
100,Ashley
101,Ashmont
102,Ashtonfield
103,Asquith
104,Atholwood
105,Attunga
106,Auburn
107,Auburn Vale
108,Audley
109,Austinmer
110,Austral
111,Austral Eden
112,Avalon Beach
113,Avisford
114,Avoca
115,Avoca Beach
116,Avon
117,Avondale
118,Avonside
119,Awaba
120,Aylmerton
121,Baan Baa
122,Babinda
123,Babyl Creek
124,Back Creek
125,Back Creek
126,Back Creek
127,Back Creek
128,Back Creek
129,Back Forest
130,Backmede
131,Backwater
132,Badagarang
133,Badgerys Creek
134,Badja
135,Baerami
136,Baerami Creek
137,Bagnoo
138,Bago
139,Bagotville
140,Bakers Creek
141,Bakers Creek
142,Bakers Creek
143,Bakers Swamp
144,Balaclava
145,Balala
146,Balcolyn
147,Bald Blair
148,Bald Hills
149,Bald Nob
150,Bald Ridge
151,Baldersleigh
152,Baldry
153,Balfours Peak
154,Balgowlah
155,Balgowlah Heights
156,Balgownie
157,Balickera
158,Balladoran
159,Ballalaba
160,Balldale
161,Ballengarra
162,Ballimore
163,Ballina
164,Ballyroe
165,Balmain
166,Balmain East
167,Balmoral
168,Balmoral Village
169,Balranald
170,Bamarang
171,Banda Banda
172,Bandon Grove
173,Bangadang
174,Bangalee
175,Bangalow
176,Bangheet
177,Bango
178,Bangor
179,Banksia
180,Banksmeadow
181,Bankstown
182,Bankstown Aerodrome
183,Bannaby
184,Bannister
185,Banoon
186,Banora Point
187,Banyabba
188,Bar Beach
189,Bar Point
190,Bara
191,Baradine
192,Barangaroo
193,Barcoongere
194,Barden Ridge
195,Bardia
196,Bardwell Park
197,Bardwell Valley
198,Barellan
199,Bargo
200,Barham
201,Barigan
202,Barkers Vale
203,Barmedman
204,Barneys Reef
205,Barnsley
206,Barooga
207,Barraba
208,Barrack Heights
209,Barrack Point
210,Barraganyatti
211,Barragga Bay
212,Barratta
213,Barren Grounds
214,Barrengarry
215,Barretts Creek
216,Barringella
217,Barrington
218,Barrington Tops
219,Barringun
220,Barry
221,Barry
222,Barwang
223,Baryulgil
224,Basin View
225,Bass Hill
226,Bassendean
227,Batar Creek
228,Bateau Bay
229,Batehaven
230,Batemans Bay
231,Bathampton
232,Bathurst
233,Batlow
234,Baulkham Hills
235,Baw Baw
236,Bawley Point
237,Baxters Ridge
238,Bayview
239,Beacon Hill
240,Beaconsfield
241,Bean Creek
242,Bearbong
243,Beaumont
244,Beaumont Hills
245,Beckom
246,Bective
247,Bectric
